Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
709,5.47,Rainy,Low,Morning,Car,21,6.0,38
306,19.53,Foggy,Low,Afternoon,Bike,11,6.0,87
735,7.5,Clear,High,Morning,Bike,29,1.0,66
976,5.61,Windy,Low,Night,Bike,25,9.0,48
50,4.1,Clear,Low,Morning,Bike,21,3.0,37
897,6.22,Rainy,Medium,Morning,Bike,15,0.0,49
3,14.77,,High,Morning,Scooter,11,6.0,67
545,12.55,Windy,Low,Evening,Bike,13,8.0,51
351,10.31,Foggy,Medium,Morning,Scooter,19,5.0,62
905,8.72,Snowy,Medium,Evening,Car,18,7.0,64
537,17.07,Clear,Medium,Morning,Bike,20,6.0,73
345,8.27,,High,Afternoon,Scooter,13,5.0,58
995,7.54,Snowy,Low,Afternoon,Bike,20,,55
482,14.07,Clear,High,Afternoon,Bike,5,8.0,67
576,19.02,Clear,Medium,Afternoon,Bike,29,9.0,87
34,19.0,Clear,High,Morning,Car,28,3.0,96
32,3.83,Rainy,Medium,Afternoon,Bike,12,9.0,30
232,10.3,Clear,Low,Evening,Scooter,19,8.0,48
964,8.09,Clear,High,Afternoon,Scooter,15,4.0,51
193,18.06,Clear,Medium,Night,Bike,9,8.0,52
334,2.76,Windy,Medium,Morning,Scooter,8,5.0,22
4,12.17,Snowy,Low,Evening,Bike,20,8.0,68
205,12.33,Clear,Medium,Evening,Bike,22,9.0,75
515,1.38,Clear,Medium,Evening,Scooter,5,8.0,13
800,18.49,Clear,Low,Afternoon,Scooter,14,6.0,71
307,10.57,Snowy,Low,Afternoon,Bike,28,9.0,59
110,2.0,Clear,High,Evening,Scooter,10,2.0,30
431,3.29,Clear,Medium,Afternoon,Scooter,17,4.0,32
78,1.94,Rainy,Medium,Morning,Bike,16,0.0,35
85,6.56,Windy,Medium,,Bike,14,1.0,47
287,9.58,Clear,High,Afternoon,Car,26,8.0,60
83,6.95,Clear,Medium,Morning,Scooter,25,2.0,58
992,14.05,Clear,High,Morning,Scooter,19,0.0,72
790,18.97,Rainy,High,Night,Bike,20,8.0,108
895,13.53,Rainy,Low,Evening,Bike,28,8.0,78
399,15.14,Rainy,Medium,Morning,Bike,8,6.0,66
324,5.96,Clear,Low,Afternoon,Bike,26,6.0,48
520,3.43,Windy,Medium,Morning,Bike,7,6.0,23
917,6.24,,Medium,Evening,Bike,15,3.0,52
923,17.94,Rainy,High,Evening,Scooter,22,6.0,85
6,3.54,Rainy,Medium,Evening,Bike,10,5.0,32
732,16.38,Rainy,Medium,Night,Bike,7,,90
466,7.81,Clear,Low,Evening,Bike,11,4.0,42
98,8.84,Clear,,Morning,Bike,26,0.0,57
267,14.09,Clear,Medium,Afternoon,Scooter,12,3.0,55
